ORGANIZATION NUMBER;Party_ID;ATTRIBUTE17
5560229972;14941951;SE
5560232919;10583519;SE
5560236290;20695690;SE
5560236407;19424600;SE
5560236811;10583520;SE
5560237793;21109159;SE
5560238338;10583522;SE
5560238445;10583523;SE
5560238486;10583524;SE
5560240599;23299537;SE
5560241977;22969978;SE
5560245804;10583530;SE
5560246513;14904403;SE
5560248915;10583531;SE
5560249558;11031055;SE
5560249566;10583532;SE
5560249970;20695691;SE
5560252081;135263;SE
5560253782;20695692;SE
5560254418;10583533;SE
5560254525;22651658;SE
5560254723;13425203;SE
5560255266;22651660;SE
5560261553;10583535;SE
5560261587;10583536;SE
5560262148;11301044;SE
5560262981;16146638;SE
5560263120;20888834;SE
5560263245;18986492;SE
5560275140;3637249;SE
5560275736;22651661;SE
5560276635;10583538;SE
5560277427;19071149;SE
5560281429;17153538;SE
5560283490;22113666;SE
5560283649;10583542;SE
5560284605;20695693;SE
5560285941;12649339;SE
5560287681;1254682;SE
5560288648;23259558;SE
5560290347;18490545;SE
5560292582;20695694;SE
5560293085;10583545;SE
5560294273;19846500;SE
5560296336;10583546;SE
5560296740;15684648;SE
5560297029;21076;SE
5560297250;10583547;SE
5560299108;391473;SE
5560299454;7216185;SE
5560300443;180571;SE
5560303017;10583551;SE
5560304122;17336918;SE
5560305921;23055905;SE
5560307836;22651663;SE
5560311549;20695697;SE
5560315607;17966496;SE
5560317702;22651664;SE
5560319849;1907962;SE
5560320094;12499380;SE
5560320375;10583557;SE
5560322918;10583559;SE
5560323189;7428627;SE
5560328113;10943182;SE
5560328881;20695698;SE
5560329269;20311993;SE
5560329285;23431008;SE
5560331984;6730310;SE
5560332891;21109160;SE
5560334111;22069305;SE
5560334285;10583561;SE
5560335423;10583562;SE
5560336256;10583563;SE
5560336280;21109161;SE
5560337148;18490629;SE
5560337528;10583565;SE
5560339086;10583566;SE
5560339946;10583567;SE
5560341330;10583568;SE
5560343161;10583569;SE
5560343484;21345076;SE
5560344714;16146639;SE
5560345190;21109162;SE
5560346289;16146640;SE
5560350935;20923748;SE
5560351651;10583570;SE
5560353335;10583571;SE
5560353608;10583572;SE
5560353913;10583573;SE
5560355009;10583574;SE
5560356684;15194494;SE
5560358672;2222057;SE
5560359555;22651666;SE
5560359993;10583575;SE
5560360504;21109163;SE
5560360793;16146641;SE
5560360959;18783254;SE
5560361213;10583576;SE
5560362138;10583577;SE
5560363284;6600533;SE
5560365636;10583578;SE
5560365677;14410519;SE
5560367061;22225115;SE
5560367186;22708691;SE
5560368507;10583579;SE
5560368689;10583580;SE
5560371394;10583581;SE
5560371782;17108942;SE
5560373135;10583582;SE
5560375668;10583583;SE
5560376898;20923577;SE
5560377326;22651667;SE
5560380072;10583585;SE
5560382185;10583586;SE
5560383092;23417761;SE
5560384090;10583587;SE
5560388851;13897381;SE
5560390279;20695699;SE
5560390345;10583588;SE
5560391699;10583590;SE
5560393075;21688214;SE
5560394081;10583592;SE
5560398207;10583593;SE
5560398231;5297274;SE
5560399296;10583595;SE
5560400748;22993573;SE
5560401597;6228445;SE
5560403502;20695701;SE
5560404708;17789736;SE
5560406166;10583596;SE
5560410911;10583598;SE
5560415563;18008554;SE
5560416322;10583599;SE
5560417916;23422618;SE
5560421363;22886883;SE
5560421587;22651668;SE
5560423641;21109164;SE
5560423971;21109165;SE
5560424912;391498;SE
5560426792;10583604;SE
5560429986;20695702;SE
5560430422;10583607;SE
5560432337;5566227;SE
5560434465;12004971;SE
5560436262;21109166;SE
5560436346;17381511;SE
5560436536;16518554;SE
5560437419;20695703;SE
5560437443;14984524;SE
5560438524;10583611;SE
5560440264;391508;SE
5560443185;391512;SE
5560443557;15734546;SE
5560444647;20695704;SE
5560446030;10583612;SE
5560446865;18591033;SE
5560448085;21109167;SE
5560449190;23149688;SE
5560449786;10583613;SE
5560449893;10583614;SE
5560455288;16406577;SE
5560456674;21077;SE
5560457748;10583616;SE
5560458308;19232527;SE
5560459942;18305519;SE
5560462755;10583618;SE
5560463480;10583620;SE
5560463852;10583621;SE
5560465113;1254601;SE
5560468133;10583622;SE
5560468638;22651670;SE
5560468687;11432426;SE
5560469206;10583623;SE
5560469552;4662693;SE
5560470071;10583624;SE
5560473521;22651671;SE
5560474255;21775891;SE
5560475658;10785042;SE
5560475880;16146644;SE
5560476714;11263110;SE
5560477159;10583625;SE
5560477225;20312104;SE
5560479742;22651672;SE
5560480567;1368643;SE
5560481680;20534952;SE
5560482746;16111691;SE
5560483314;391553;SE
5560486325;18640333;SE
5560489030;22651673;SE
5560491952;10583627;SE
5560494550;7775451;SE
5560494733;23478932;SE
5560494758;22599969;SE
5560494899;391556;SE
5560495235;391561;SE
5560495649;7828545;SE
5560495821;2095757;SE
5560496761;20777064;SE
5560496860;22227586;SE
5560497017;20084851;SE
5560498403;16499801;SE
5560498833;10583629;SE
5560503426;85477;SE
5560503483;23063544;SE
5560508029;22651674;SE
5560508136;10583633;SE
5560508839;21074297;SE
5560509183;21538861;SE
5560509944;18401562;SE
5560510207;10583634;SE
5560510272;10583636;SE
5560512245;17966580;SE
5560514241;21109169;SE
5560514357;10583637;SE
5560514621;10583638;SE
5560515818;20169197;SE
5560515974;391567;SE
5560517160;10583639;SE
5560517228;20695706;SE
5560517772;10583640;SE
5560518812;391572;SE
5560518994;20695707;SE
5560520263;21078;SE
5560521782;23369965;SE
5560522616;18379707;SE
5560524984;10583642;SE
5560525171;22651676;SE
5560525551;10583644;SE
5560525692;21660513;SE
5560526682;16671552;SE
5560527193;21109170;SE
5560527466;8571448;SE
5560528514;10583646;SE
5560528522;10583647;SE
5560528753;10583648;SE
5560530569;23241026;SE
5560532888;16146645;SE
5560535402;2305632;SE
5560535873;10583652;SE
5560539545;22651677;SE
5560540402;391588;SE
5560541285;23149557;SE
5560543828;19079381;SE
5560544735;10583654;SE
5560545351;4966295;SE
5560545872;781689;SE
5560548165;2555724;SE
5560548694;391594;SE
5560549270;18137494;SE
5560549668;9583145;SE
5560550120;20695709;SE
5560552316;10583657;SE
5560552407;10583658;SE
5560552605;10583659;SE
5560555814;10583663;SE
5560556515;16232552;SE
5560559162;16146646;SE
5560560665;7698502;SE
5560560871;20695710;SE
5560561283;21371691;SE
5560564485;10583665;SE
5560565409;20695712;SE
5560566126;22651680;SE
5560566258;17733510;SE
5560570136;16199609;SE
5560571886;14293805;SE
5560573452;7861444;SE
5560573619;22881703;SE
5560573981;22651681;SE
5560574880;391604;SE
5560577388;16146648;SE
5560577545;10583668;SE
5560578303;22651682;SE
5560578360;17185496;SE
5560579624;391606;SE
5560579962;10583670;SE
5560580432;21298386;SE
5560580572;21079;SE
5560582602;20695713;SE
5560583733;16327489;SE
5560585761;18275309;SE
5560586744;22651683;SE
5560587494;16406603;SE
5560588088;180575;SE
5560588484;15707753;SE
5560589094;13425493;SE
5560589664;10583673;SE
5560592338;10583674;SE
5560592387;10583675;SE
5560592593;22651684;SE
5560598434;17910803;SE
